"pubmedID","num_inter","n_proteins","methods"
"12970176","1","2","nuclear magnetic resonance,surface plasmon resonance"
"10388568","1","2","nuclear magnetic resonance"
"12207904","1","2","circular dichroism,nuclear magnetic resonance"
"12802020","1","2","two hybrid"
"11689694","1","2","pull down"
"12354939","1","2","pull down"
"12361576","2","3","pull down"
"14756564","1","2","biophysical"
"15115758","1","2","affinity chromatography technology,coimmunoprecipitation"
"15001576","1","2","coimmunoprecipitation"
"12695509","1","2","pull down"
"15324660","225","155","coimmunoprecipitation"
"15225635","1","2","filter binding,fluorescence microscopy"
"9267021","1","2","coimmunoprecipitation"
"12879077","5","8","pull down"
"15247908","3","3","pull down"
"15457209","2","2","cross linking study,pull down,x ray crystallography"
"15143060","4","5","two hybrid"
"12730685","1","2","pull down"
"15261140","2","3","pull down"
"15039775","2","3","two hybrid"
"12505986","5","6","two hybrid"
"12134158","3","4","pull down"
"9708738","1","2","anti tag coimmunoprecipitation,coimmunoprecipitation"
"10383454","12","5","anti tag coimmunoprecipitation"
"9808624","1","2","anti tag coimmunoprecipitation,protein kinase assay,pull down"
"12052864","8","5","dihydrofolate reductase reconstruction"
"12496252","5","6","anti tag coimmunoprecipitation"
"12860405","4","4","two hybrid"
"12874243","4","5","anti tag coimmunoprecipitation"
"12604615","1","2","two hybrid"
"12244051","1","2","anti bait coimmunoprecipitation,anti tag coimmunoprecipitation"
"11798190","1","2","anti tag coimmunoprecipitation,two hybrid"
"11463338","1","2","anti bait coimmunoprecipitation"
"11418595","2","3","coimmunoprecipitation"
"10198630","1","2","biochemical"
"10966108","7","6","anti tag coimmunoprecipitation"
"14654833","1","2","x ray crystallography"
"9843987","1","2","two hybrid"
"12609982","13","10","coimmunoprecipitation"
"12813041","4","4","pull down"
"15044490","1","1","fluorescent resonance energy transfer"
"11125146","1","2","coimmunoprecipitation"
"14672932","1","2","pull down"
"14993212","6","7","coimmunoprecipitation"
"15159412","1","2","anti tag coimmunoprecipitation"
"10724160","1","1","classical fluorescence spectroscopy,pull down"
"9660763","1","2","classical fluorescence spectroscopy"
"12745076","1","2","pull down"
"14532005","2","2","anti tag coimmunoprecipitation,pull down"
"14659764","1","2","nuclear magnetic resonance"
"15240696","1","2","fluorescence activated cell sorting"
"12426371","1","2","nuclear magnetic resonance"
"15474016","1","2","anti tag coimmunoprecipitation"
"15474031","1","2","coimmunoprecipitation"
"15474036","1","2","anti tag coimmunoprecipitation,pull down,two hybrid"
"15361857","8","8","coimmunoprecipitation"
