"pubmedID","pvalue","xmin_est","xmax","ntail","len_degree","unique_degree","gof","alpha","n_inter"
"10480874","0.56","2","7","6","9","4","0.110252917075977","2.84939893150724",11
"21803845","0.72","2","7","7","8","4","0.0942210969548164","3.0428035084876",11
"24789099","0.77","4","7","4","11","6","0.114059596377287","4.27479798942173",16
"8702798","0.62","2","6","6","8","4","0.1275362802511","2.95143858585239",10
"21252941","0.35","2","9","6","10","5","0.136134115252012","2.29947840199974",14
"23091066","0.04","1","10","11","11","3","0.236427400507674","1.86215611355522",16
"24018270","0.79","3","5","8","14","4","0.0734062141955635","4.708190423051",17
"26565908","0.59","3","5","6","8","4","0.136458492912381","4.11637368426799",12
"23867461","0.63","4","11","4","12","6","0.124344175039174","2.89377563890269",19
"28533407","0.01","1","178","279","279","4","0.0235654092674421","3.58158093506972",301
"21628461","0.69","5","7","4","8","5","0.0997970870457686","5.64647418739872",18
"23751493","0.28","1","28","32","32","4","0.0527101381826395","2.735568056386",33
"27505670","0","1","36","47","47","4","0.128183572744038","2.25201945257905",62
"22446626","0.03","1","85","89","89","5","0.0551312894991529","3.51318045879739",91
"19032343","0.33","2","8","6","9","4","0.160148796340809","2.65217593329406",12
"27647897","0.52","1","9","13","13","4","0.0849127627534054","2.22072486176055",14
"28821611","0.12","1","46","45","45","4","0.0548053673530479","3.01598259215096",48
"24069330","0.32","3","7","5","6","4","0.215124030741918","3.18390455875191",12
"28199306","0.58","8","15","8","19","10","0.114075527397543","5.05135584270258",52
"16253997","0.06","1","5","6","6","3","0.489139831736406","1.59759697010181",11
"19131338","0.53","1","17","18","18","6","0.0705860565908635","2.10838830253266",23
"15960975","0.06","1","30","31","31","7","0.0964103094031619","2.17092585254211",43
"24315095","0.04","1","18","19","19","4","0.13832340662204","2.01184513787193",26
"16252006","0.18","3","10","7","11","4","0.20107852692046","2.91250965907138",19
"27291054","0","2","135","76","158","4","0.165950718184509","4.49892187804574",232
"14966270","0.29","4","15","8","16","7","0.15842484841684","2.68590566751008",36
"19470757","0.06","1","4","7","7","3","0.488137126720545","1.68903526784902",10
"18691967","0.54","2","8","6","7","4","0.160148806729076","2.65217599091237",11
"23044487","0.71","2","9","6","12","5","0.0903691079275896","2.51782219095716",14
"29435596","0.7","1","18","19","19","4","0.0462074019968348","2.51686230224946",20
"21177249","0.07","1","4","6","6","3","0.433285309706649","1.63148189175029",10
"16286006","0.5","2","5","5","9","5","0.139428152414933","2.59766205482308",10
"21045808","0.42","3","11","7","13","8","0.134566156654606","2.43443721980028",24
"19446321","0.38","2","6","6","7","5","0.183310387946313","2.40900809433957",11
"21376236","0.39","3","7","6","9","7","0.153304005476285","2.8399952102053",16
"18505677","0.51","1","8","10","10","4","0.105248204107647","1.99229778355342",12
"18570873","0.78","3","5","4","7","5","0.114172407391099","3.92889386249881",10
"28805820","0.04","1","5","11","11","4","0.256913931906836","1.86605015129008",13
"15855230","0.49","3","7","6","7","4","0.169156230306922","2.9219731402067",15
"23135275","0.79","2","6","5","6","5","0.118591372343916","2.50405188292353",9
